feature,group,importance
exogenous:wind_cubed,exogenous,550.9888919977673
exogenous:period_holiday_zone_a,exogenous,447.1763916015625
exogenous:period_holiday_zone_b,exogenous,432.47399902343943
exogenous:wind_by_wind_power_weights,exogenous,410.07241301937
exogenous:period_holiday_zone_c,exogenous,401.3054809570359
calendar_dummies:day_type_week_1,calendar_dummies,393.78184000651095
exogenous:wind_cap_cubed,exogenous,388.7980054166398
exogenous:period_holiday,exogenous,362.9852294921898
calendar_dummies:day_type_week_3,calendar_dummies,342.66796875
calendar_dummies:day_type_week_2,calendar_dummies,335.12460327149194
exogenous:nebulosity_by_solar_power_weights,exogenous,306.06156860198723
exogenous:wind,exogenous,265.0137528516409
calendar_dummies:day_type_week_4,calendar_dummies,211.76285807292058
exogenous:period_christmas,exogenous,53.52814229329523
calendar_dummies:tod_37,calendar_dummies,0.0
calendar_dummies:tod_29,calendar_dummies,0.0
calendar_dummies:tod_30,calendar_dummies,0.0
calendar_dummies:tod_31,calendar_dummies,0.0
calendar_dummies:tod_32,calendar_dummies,0.0
calendar_dummies:tod_33,calendar_dummies,0.0
calendar_dummies:tod_34,calendar_dummies,0.0
calendar_dummies:tod_35,calendar_dummies,0.0
calendar_dummies:tod_36,calendar_dummies,0.0
calendar_dummies:tod_47,calendar_dummies,0.0
calendar_dummies:tod_38,calendar_dummies,0.0
calendar_dummies:tod_39,calendar_dummies,0.0
calendar_dummies:tod_40,calendar_dummies,0.0
calendar_dummies:tod_41,calendar_dummies,0.0
calendar_dummies:tod_42,calendar_dummies,0.0
calendar_dummies:tod_43,calendar_dummies,0.0
calendar_dummies:tod_44,calendar_dummies,0.0
calendar_dummies:tod_45,calendar_dummies,0.0
calendar_dummies:tod_46,calendar_dummies,0.0
calendar_dummies:tod_27,calendar_dummies,0.0
calendar_dummies:tod_28,calendar_dummies,0.0
calendar_dummies:tod_19,calendar_dummies,0.0
calendar_dummies:tod_26,calendar_dummies,0.0
calendar_dummies:tod_11,calendar_dummies,0.0
exogenous:heat_deg,exogenous,0.0
calendar_dummies:tod_1,calendar_dummies,0.0
calendar_dummies:tod_2,calendar_dummies,0.0
calendar_dummies:tod_3,calendar_dummies,0.0
calendar_dummies:tod_4,calendar_dummies,0.0
calendar_dummies:tod_5,calendar_dummies,0.0
calendar_dummies:tod_6,calendar_dummies,0.0
calendar_dummies:tod_7,calendar_dummies,0.0
calendar_dummies:tod_8,calendar_dummies,0.0
calendar_dummies:tod_9,calendar_dummies,0.0
calendar_dummies:tod_10,calendar_dummies,0.0
calendar_dummies:tod_12,calendar_dummies,0.0
calendar_dummies:tod_25,calendar_dummies,0.0
calendar_dummies:tod_13,calendar_dummies,0.0
exogenous:year,exogenous,0.0
calendar_dummies:tod_15,calendar_dummies,0.0
calendar_dummies:tod_16,calendar_dummies,0.0
calendar_dummies:tod_17,calendar_dummies,0.0
calendar_dummies:tod_18,calendar_dummies,0.0
calendar_dummies:tod_20,calendar_dummies,0.0
calendar_dummies:tod_21,calendar_dummies,0.0
calendar_dummies:tod_22,calendar_dummies,0.0
calendar_dummies:tod_23,calendar_dummies,0.0
calendar_dummies:tod_24,calendar_dummies,0.0
calendar_dummies:tod_14,calendar_dummies,0.0
